published_papers
アクション名,アクションタイプ,類似業績マージ優先度,ID,タイトル(日本語),タイトル(英語),著者(日本語),著者(英語),担当区分,概要(日本語),概要(英語),出版者・発行元(日本語),出版者・発行元(英語),出版年月,誌名(日本語),誌名(英語),巻,号,開始ページ,終了ページ,記述言語,査読の有無,招待の有無,掲載種別,国際・国内誌,国際共著,DOI,ISSN,eISSN,URL,URL2,主要な業績かどうか,公開の有無
insert,merge,null,51094031,null,"LaCu5 intermetallic alloy cathode for fluoride-ion batteries",null,"[Shun Sasano,Ryo Ishikawa,Kazuaki Kawahara,Naoya Shibata,Yuichi Ikuhara]",null,null,null,null,null,2025-12,null,"Journal of Power Sources",null,null,null,null,null,null,null,scientific_journal,null,null,10.1016/j.jpowsour.2025.238294,null,null,null,null,false,disclosed
insert,merge,null,51527578,null,"Dopant diffusion and segregation of iron in a near 45° (100) twist grain boundary in SrTiO <sub>3</sub>",null,"[William Hahn,Kazuaki Kawahara,Shun Sasano,Bin Feng,Naoya Shibata,Yuichi Ikuhara,Klaus van Benthem]",null,null,"<jats:title>Abstract</jats:title>
 <jats:p>
 Dopant segregation is a key contributor to interfacial stability and the macroscopic physical properties of polycrystalline materials. Near 45° (100) twist grain boundaries were diffusion bonded either from Fe‐doped SrTiO
 <jats:sub>3</jats:sub>
 single crystals, or nominally undoped single crystals after a thin film of iron was deposited onto the single crystal surface prior to diffusion bonding. After diffusion bonding, scanning transmission electron microscopy characterization detected increased Fe signals from the grain boundary cores of both types of bicrystals. Fe enrichment occurred either by segregation from the doped single crystals or by dopant out‐diffusion into the bulk away from the deposited layer. Quantitative energy dispersive X‐ray spectroscopy experiments identified that the grain boundary prepared after Fe deposition was characterized by much higher dopant enrichment compared to the case after diffusion bonding of two doped single crystals. Additional thermal annealing of the bicrystal formed after iron layer deposition caused a decrease in iron enrichment approaching the excess observed for the diffusion‐bonded doped single crystals. The experimental results demonstrate that, dependent on the method of doping, extended thermal annealing of bicrystals may be necessary after diffusion bonding to achieve equilibrium grain boundary excess quantities.
 </jats:p>",null,null,2025-10,null,"Journal of the American Ceramic Society",null,null,null,null,eng,null,null,scientific_journal,null,null,10.1111/jace.70312,"[0002-7820,1551-2916]",null,null,null,false,disclosed
insert,merge,null,50845887,null,"Mott insulating state of IrO6 honeycomb monolayer structured in ilmenite-type oxide superlattice",null,"[Masamichi Negishi,Kohei Fujiwara,Seong-Hoon Jang,Yi-Feng Zhao,Shun Sasano,Ryo Ishikawa,Naoya Shibata,Daisuke Shiga,Hiroshi Kumigashira,Yuto Nakamura,Hideo Kishida,Yukitoshi Motome,Atsushi Tsukazaki]",null,null,null,null,null,2025-08,null,"Physical Review Materials",null,null,null,null,null,null,null,scientific_journal,null,null,10.1103/gz4v-8mds,null,null,null,null,false,disclosed
insert,merge,null,50196905,null,"Capacity enhancement of LaAl2Ag ternary alloy anode for fluoride-ion batteries",null,"[Shun Sasano,Ryo Ishikawa,Kazuaki Kawahara,Naoya Shibata,Yuichi Ikuhara]",null,null,null,null,null,2025-05,null,"Journal of Materials Chemistry A",null,null,null,null,null,null,null,scientific_journal,null,null,10.1039/D5TA00837A,null,null,null,null,false,disclosed
insert,merge,null,48377392,null,"La1−xSrxF3−x: A Solid-State Electrolyte for Fluoride Ion Battery with High Ionic Conductivity and Wide Electrochemical Potential Window",null,"[Kazuaki Kawahara,Ryo Ishikawa,Shun Sasano,Naoya Shibata,Yuichi Ikuhara]",null,null,null,null,null,2024-11,null,"Journal of The Electrochemical Society",null,null,null,null,null,null,null,scientific_journal,null,null,10.1149/1945-7111/ad8d10,null,null,null,null,false,disclosed
insert,merge,null,48265853,null,"Highly Reversible Conversion‐Type CoSn2 Cathode for Fluoride‐Ion Batteries",null,"[Shun Sasano,Ryo Ishikawa,Kazuaki Kawahara,Naoya Shibata,Yuichi Ikuhara]",null,null,null,null,null,2024-10,null,Small,null,null,null,null,null,null,null,scientific_journal,null,null,10.1002/smll.202408023,null,null,null,null,false,disclosed
insert,merge,null,47371621,null,"Modulating the cross-plane thermal conductivity of graphite by MnCl2 and FeCl3 co-intercalation",null,"[Harsh Chandra,Shun Sasano,Bin Xu,Ryo Ishikawa,Suguru Noda,Naoya Shibata,Junichiro Shiomi]",null,null,null,null,null,2024-08,null,"Journal of Materials Chemistry A",null,null,null,null,null,null,null,scientific_journal,null,null,10.1039/D4TA03644A,null,null,null,null,false,disclosed
insert,merge,null,47094929,null,"Total third-degree variation for noise reduction in atomic-resolution STEM images",null,"[Kazuaki Kawahara,Ryo Ishikawa,Shun Sasano,Naoya Shibata,Yuichi Ikuhara]",null,null,"<jats:title>Abstract</jats:title>
 <jats:p>Scanning Transmission Electron Microscopy (STEM) enables direct determination of atomic arrangements in materials and devices. However, materials such as battery components are weak for electron beam irradiation, and low electron doses are required to prevent beam-induced damages. Noise removal is thus essential for precise structural analysis of electron-beam-sensitive materials at atomic resolution. Total square variation (TSV) regularization is an algorithm that exhibits high noise removal performance. However, the use of the TSV regularization term leads to significant image blurring and intensity reduction. To address these problems, we here propose a new approach adopting L2 norm regularization based on higher-order total variation. An atomic-resolution STEM image can be approximated as a set of smooth curves represented by quadratic functions. Since the third-degree derivative of any quadratic function is 0, total third-degree variation (TTDV) is suitable for a regularization term. The application of TTDV for denoising the atomic-resolution STEM image of CaF2 observed along the [001] zone axis is shown, where we can clearly see the Ca and F atomic columns without compromising image quality.</jats:p>",null,null,2024-07-02,null,Microscopy,null,null,null,null,eng,null,null,scientific_journal,null,null,10.1093/jmicro/dfae031,"[2050-5698,2050-5701]",null,null,null,false,disclosed
insert,merge,null,44353392,null,"La-Al Intermetallic Alloy Anode for Realizing High-Energy Fluoride-Ion Battery",null,"[Shun Sasano,Ryo Ishikawa,Kazuaki Kawahara,Naoya Shibata,Yuichi Ikuhara]",null,null,null,null,null,2023-12,null,"Journal of The Electrochemical Society",null,null,null,null,null,null,null,scientific_journal,null,null,10.1149/1945-7111/ad136e,null,null,null,null,false,disclosed
insert,merge,null,43758588,null,"Formation of La-rich tysonite nano-precipitates in fluorite Ba0.6La0.4F2.4",null,"[Shun Sasano,Ryo Ishikawa,Kazuaki Kawahara,Atsushi Mineshige,Naoya Shibata,Yuichi Ikuhara]",null,null,null,null,null,2023-02,null,"Journal of Power Sources",557,null,null,null,eng,null,null,scientific_journal,null,null,10.1016/j.jpowsour.2022.232581,0378-7753,1873-2755,null,null,false,disclosed
